episode_no,title,air_date,episode_url
702,The Jet-Black Mystery Train(Tunnel),"July 20, 2013",https://www.detectiveconanworld.com/wiki/The_Jet-Black_Mystery_Train
703,The Jet-Black Mystery Train(Intersection),"July 27, 2013",https://www.detectiveconanworld.com/wiki/The_Jet-Black_Mystery_Train
704,The Jet-Black Mystery Train(Destination),"August 3, 2013",https://www.detectiveconanworld.com/wiki/The_Jet-Black_Mystery_Train
706,Bourbon Figures It Out,"August 17, 2013",https://www.detectiveconanworld.com/wiki/Conan_in_a_Locked_Room
723,Sweet and Cold Delivery Service(Part 2),"December 21, 2013",https://www.detectiveconanworld.com/wiki/Sweet_and_Cold_Delivery_Service
734,Jodie's Memories and the Cherry Blossom Viewing Trap(1 Hour Special),"March 29, 2014",https://www.detectiveconanworld.com/wiki/Jodie%27s_Memories_and_the_Cherry_Blossom_Viewing_Trap
739,Kogoro in the Bar(Part 2),"May 17, 2014",https://www.detectiveconanworld.com/wiki/Kogoro_in_the_Bar
740,Bathroom Where Ran Collapsed As Well(Part 1),"May 31, 2014",https://www.detectiveconanworld.com/wiki/Bathroom_Where_Ran_Collapsed_As_Well
770,The Tense Tea Party(Part 1),"March 7, 2015",https://www.detectiveconanworld.com/wiki/The_Tense_Tea_Party
771,The Tense Tea Party(Part 2),"March 14, 2015",https://www.detectiveconanworld.com/wiki/The_Tense_Tea_Party
779,The Scarlet Prologue,"May 30, 2015",https://www.detectiveconanworld.com/wiki/The_Scarlet_Return
780,The Scarlet Pursuit,"June 6, 2015",https://www.detectiveconanworld.com/wiki/The_Scarlet_Return
781,The Scarlet Intersection,"June 13, 2015",https://www.detectiveconanworld.com/wiki/The_Scarlet_Return
782,The Scarlet Return,"June 20, 2015",https://www.detectiveconanworld.com/wiki/The_Scarlet_Return
783,The Scarlet Truth,"June 27, 2015",https://www.detectiveconanworld.com/wiki/The_Scarlet_Return
813,The Shadow Approaching Amuro,"April 16, 2016",https://www.detectiveconanworld.com/wiki/The_Shadow_Approaching_Amuro
862,Just Like a 17 Years Old Crime Scene(Part 2),"June 10, 2017",https://www.detectiveconanworld.com/wiki/Just_Like_a_17_Years_Old_Crime_Scene
864,The Spirit Detective's Murder(Part 2),"June 24, 2017",https://www.detectiveconanworld.com/wiki/The_Spirit_Detective%27s_Murder
866,The Betrayal's Stage(Part 1),"July 15, 2017",https://www.detectiveconanworld.com/wiki/The_Betrayal%27s_Stage
867,The Betrayal's Stage(Part 2),"July 22, 2017",https://www.detectiveconanworld.com/wiki/The_Betrayal%27s_Stage
941,Search for Maria-chan!(Part 1),"June 1, 2019",https://www.detectiveconanworld.com/wiki/Search_for_Maria-chan!
942,Search for Maria-chan!(Part 2),"June 8, 2019",https://www.detectiveconanworld.com/wiki/Search_for_Maria-chan!
953,The Unsolved Cocktail Case(Part 2),"September 7, 2019",https://www.detectiveconanworld.com/wiki/The_Unsolved_Cocktail_Case
1004,The 36-Cell Perfect Game(Part 2),"May 1, 2021",https://www.detectiveconanworld.com/wiki/The_36-Cell_Perfect_Game
1045,The Birthday Party of Divine Punishment(Part 1),"June 4, 2022",https://www.detectiveconanworld.com/wiki/The_Birthday_Party_of_Divine_Punishment
1046,The Birthday Party of Divine Punishment(Part 2),"June 11, 2022",https://www.detectiveconanworld.com/wiki/The_Birthday_Party_of_Divine_Punishment
1053,The Spark That Fell on the Ranch(Part 1),"August 6, 2022",https://www.detectiveconanworld.com/wiki/The_Spark_That_Fell_on_the_Ranch
1054,The Spark That Fell on the Ranch(Part 2),"August 13, 2022",https://www.detectiveconanworld.com/wiki/The_Spark_That_Fell_on_the_Ranch
1072,Yusaku Kudo's Detective Show(Part 2),"February 4, 2023",https://www.detectiveconanworld.com/wiki/Yusaku_Kudo%27s_Detective_Show
1077,The Black Organization's Scheme(Hunt),"March 25, 2023",https://www.detectiveconanworld.com/wiki/The_Black_Organization%27s_Scheme
1078,The Black Organization's Scheme(Landing),"April 1, 2023",https://www.detectiveconanworld.com/wiki/The_Black_Organization%27s_Scheme
1079,The Black Organization's Scheme(Identity),"April 8, 2023",https://www.detectiveconanworld.com/wiki/The_Black_Organization%27s_Scheme
1094,Akemi Miyano's Time Capsule(Part 2),"August 12, 2023",https://www.detectiveconanworld.com/wiki/Akemi_Miyano%27s_Time_Capsule
1150,Kaitou Kid and the Crown Trick(Part 1),"January 18, 2025",https://www.detectiveconanworld.com/wiki/Kaitou_Kid_and_the_Crown_Trick
1164,The 17-Year-Old Truth(The Bloody Knight),"June 7, 2025",https://www.detectiveconanworld.com/wiki/The_17-Year-Old_Truth
1165,The 17-Year-Old Truth(The Perceptive Devil),"June 14, 2025",https://www.detectiveconanworld.com/wiki/The_17-Year-Old_Truth
1166,The 17-Year-Old Truth(The Far-Sighted Bishop),"June 21, 2025",https://www.detectiveconanworld.com/wiki/The_17-Year-Old_Truth
1167,The 17-Year-Old Truth(The Queen's Gambit),"June 28, 2025",https://www.detectiveconanworld.com/wiki/The_17-Year-Old_Truth
1170,The Mystery of the Man-Eating Classroom(Part 2),"August 2, 2025",https://www.detectiveconanworld.com/wiki/The_Mystery_of_the_Man-Eating_Classroom
